0.11311907,0.07385214,-0.1374457,0.03376407
0.03621517,-0.14695205,0.15714945,-0.0831652,
-0.01472627,-0.10411062,-0.05650097,-0.07466242
-0.24533271,-0.02307719,-0.04263427,-0.08640379
-0.10561021,-0.05006868,-0.10067528,-0.1832577,
-0.22807311,-0.08447913,-0.00430697,-0.02042924
-0.09126589,0.04296153,-0.05817745,0.11058198
-0.12587515,-0.17702406,-0.13911954,-0.05052209
-0.00054705,-0.0142064,-0.00521777,-0.07432238
-0.06056607,0.1445733,0.08902662,-0.03445023
0.06032298,0.1151625,0.02748497,-0.14530882
-0.02267394,0.08057047,-0.10576486,-0.00157874
-0.09628479,-0.09223222,0.0962822,0.03472124
0.03532397,0.31030704,0.0882654,-0.09970706
0.24024158,0.04240499,0.09936785,-0.03823201
0.10475893,-0.10615667,-0.04400258,-0.14614033
0.10014437,0.18210706,-0.2789262,0.10563228
0.08445347,0.19419082,-0.13560699,0.0577896,
-0.04876766,-0.03885924,-0.01253259,-0.06747862
0.14133565,-0.05307949,-0.07401685,0.02988137
0.00835923,0.02014486,0.01191335,-0.27611731
0.04504839,0.03838661,-0.16685917,-0.07660326
-0.06061917,-0.15277072,0.07907593,0.09001447
0.04131293,-0.00761565,-0.21341062,0.08944019
0.12931739,0.03958322,-0.06771147,0.13324609
-0.09849943,0.02671168,-0.14251984,0.0372129,
-0.16973952,0.02683479,0.02960212,-0.14176896
-0.1295194,-0.21481696,-0.11816813,-0.08541126
0.17479233,0.06941138,-0.12803426,-0.05029324
-0.00775642,0.20620071,0.11468861,-0.04427575
-0.13170705,0.13982483,0.02009449,-0.02603167
-0.13479667,-0.02867577,0.2304245,0.13372133
